user_id,email,country,signup_at_utc,last_seen_at_utc,status,status_is_anomalous,is_new_user,inactive_6m_flag,has_history_flag,payment_total_count,payment_success_count,payment_failed_count,payment_disputed_count,payment_refunded_count,payment_pending_count,payment_canceled_count,payment_issue_rate,payment_distinct_subscription_count,payment_distinct_brand_count,membership_total_count,membership_exit_count,membership_current_count,short_membership_count,avg_membership_duration_days,median_membership_duration_days,distinct_subscription_count,distinct_brand_count,membership_churn_rate,brand_switch_rate,complaint_total_count,complaint_reporter_count,complaint_target_count,complaint_open_count,complaint_escalated_count,complaint_resolved_count,complaint_total_severity,days_since_last_payment_raw,days_since_last_payment,days_since_last_complaint_raw,days_since_last_complaint,days_since_last_membership_end_raw,days_since_last_membership_end,days_since_last_seen,payment_risk_raw,complaint_risk_raw,membership_risk_raw,recency_risk_raw,payment_risk_norm,complaint_risk_norm,membership_risk_norm,recency_risk_norm,risk_score,risk_tier,risk_rank
538,user_538@gmail.com,FR,2026-12-26 16:13:19+00:00,2021-08-21 16:26:48+00:00,4.0,0,1,1,1,17.0,6.0,9.0,1.0,0.0,0.0,1.0,0.6294117647058823,2.0,2.0,2.0,1.0,1.0,1.0,554.9763368055555,554.9763368055555,2.0,2.0,0.5,0.5,5.0,3.0,2.0,1.0,2.0,2.0,4.5120000000000005,315.9529050925926,315.9529050925926,338.2499537037037,338.2499537037037,0.0,0.0,365.0,5.172571028114694,4.849201056654202,2.8276563512859614,1.0,1.0,1.0,1.0,1.0,100.0,critical,1
678,user_678@hotmail.com,AT,2024-08-30 23:37:15+00:00,2024-11-30 16:23:03+00:00,1.0,0,0,1,1,27.0,15.0,6.0,2.0,1.0,2.0,1.0,0.3925925925925926,2.0,2.0,2.0,1.0,1.0,0.0,941.535775462963,941.535775462963,2.0,2.0,0.5,0.5,5.0,4.0,1.0,2.0,1.0,0.0,3.448,504.8651736111111,504.8651736111111,697.2495601851851,697.2495601851851,0.0,0.0,365.0,5.901744634403041,4.0806110930709245,2.3424533248940005,1.0,1.0,1.0,1.0,1.0,100.0,critical,2
621,user_621@outlook.com,PT,2021-07-12 04:03:59+00:00,2023-09-30 23:24:19+00:00,0.0,0,0,1,1,13.0,7.0,3.0,2.0,1.0,0.0,0.0,0.5230769230769231,1.0,1.0,2.0,1.0,1.0,0.0,848.986556712963,848.986556712963,2.0,2.0,0.5,0.5,6.0,5.0,1.0,3.0,0.0,2.0,4.656,320.12059027777775,320.12059027777775,502.92765046296296,502.92765046296296,0.0,0.0,365.0,5.0734057412687585,3.945480268292758,2.3424533248940005,1.0,1.0,1.0,1.0,1.0,100.0,critical,3
1399,user_1399@proton.me,IT,2023-12-13 19:15:23+00:00,2025-02-19 11:40:09+00:00,0.0,0,0,1,1,12.0,4.0,4.0,0.0,3.0,1.0,0.0,0.5583333333333333,3.0,3.0,3.0,1.0,2.0,0.0,750.2105246913579,473.51769675925925,3.0,3.0,0.3333333333333333,0.6666666666666666,8.0,7.0,1.0,5.0,1.0,1.0,4.832000000000001,382.51769675925925,382.51769675925925,445.0582638888889,445.0582638888889,0.0,0.0,365.0,4.543084222164663,5.048660642340869,2.4529610277865572,1.0,1.0,1.0,1.0,1.0,100.0,critical,4
1702,user_1702@free.fr,BE,2020-09-26 01:42:50+00:00,2023-11-14 07:12:57+00:00,0.0,0,0,1,1,30.0,19.0,7.0,1.0,1.0,1.0,1.0,0.3266666666666667,2.0,2.0,2.0,2.0,0.0,0.0,484.87440972222225,484.87440972222225,2.0,2.0,1.0,0.5,3.0,3.0,0.0,2.0,1.0,0.0,2.4640000000000004,320.8630324074074,320.8630324074074,619.4694444444444,619.4694444444444,350.20050925925926,350.20050925925926,365.0,5.113125381139108,3.519886347584615,2.326301017984407,1.0,1.0,0.9845038352306676,0.9931045341489037,1.0,99.4,critical,5
1316,user_1316@gmail.com,FR,2022-04-03 15:21:01+00:00,2024-03-10 08:53:52+00:00,0.0,0,0,1,1,12.0,1.0,9.0,1.0,1.0,0.0,0.0,0.9416666666666668,2.0,2.0,2.0,1.0,1.0,0.0,353.8230902777778,353.8230902777778,2.0,2.0,0.5,0.5,4.0,3.0,1.0,1.0,1.0,1.0,2.328,475.22513888888886,475.22513888888886,466.6994675925926,466.6994675925926,0.0,0.0,365.0,6.280156941615254,3.3972275452159293,2.3424533248940005,1.0,1.0,0.9501964600963434,1.0,1.0,98.51,critical,6
1132,user_1132@hotmail.com,PT,2020-09-23 01:36:16+00:00,2021-09-07 07:32:42+00:00,-1.0,1,0,1,1,21.0,10.0,6.0,0.0,1.0,3.0,1.0,0.3761904761904762,2.0,2.0,2.0,1.0,1.0,0.0,487.5894849537037,487.5894849537037,2.0,2.0,0.5,0.5,6.0,6.0,0.0,5.0,0.0,0.0,3.8000000000000003,338.43313657407407,338.43313657407407,391.57331018518516,391.57331018518516,0.0,0.0,365.0,4.270933626735019,3.6064008471119804,2.3424533248940005,1.0,0.944355962710637,1.0,1.0,1.0,97.77,critical,7
472,user_472@gmail.com,PT,2021-05-24 06:42:26+00:00,2022-11-30 23:58:47+00:00,2.0,0,0,1,1,16.0,7.0,6.0,1.0,1.0,0.0,1.0,0.53125,2.0,2.0,2.0,1.0,1.0,0.0,430.94286458333335,430.94286458333335,2.0,2.0,0.5,0.5,5.0,5.0,0.0,1.0,1.0,3.0,3.5280000000000005,365.3009259259259,365.3009259259259,367.1279861111111,367.1279861111111,0.0,0.0,365.0,5.241278100455176,3.282530579425526,2.3424533248940005,1.0,1.0,0.9181159917063741,1.0,1.0,97.54,critical,8
1272,user_1272@outlook.com,DE,2021-10-15 10:28:57+00:00,2021-12-27 11:11:18+00:00,0.0,0,0,1,1,18.0,10.0,6.0,0.0,2.0,0.0,0.0,0.4222222222222222,2.0,2.0,2.0,1.0,1.0,1.0,622.2956423611112,622.2956423611112,2.0,2.0,0.5,0.5,6.0,6.0,0.0,3.0,1.0,2.0,3.5200000000000005,440.33520833333336,440.33520833333336,354.92291666666665,354.92291666666665,0.0,0.0,365.0,4.169244424434245,4.114743312902507,2.8276563512859614,1.0,0.9218712291772255,1.0,1.0,1.0,96.87,critical,9
60,user_60@hotmail.com,BE,2021-09-27 05:46:23+00:00,2023-05-15 08:06:11+00:00,0.0,0,0,1,1,18.0,11.0,4.0,1.0,0.0,1.0,1.0,0.3333333333333333,2.0,1.0,2.0,2.0,0.0,1.0,340.4672048611111,340.4672048611111,2.0,1.0,1.0,0.0,5.0,3.0,2.0,4.0,1.0,0.0,5.744,343.02711805555555,343.02711805555555,337.7108101851852,337.7108101851852,319.5741087962963,319.5741087962963,365.0,4.132299101940596,5.722204664377028,2.6391465852864457,1.0,0.9137021639000822,1.0,1.0,1.0,96.55,critical,10
